sección censal,renta media
2807908145,22457.0
2807908146,24073.0
2807908147,23846.0
2807908148,20016.0
2807908149,15355.0
2807908150,29364.0
2807908151,17382.0
2807908152,29364.0
2807908153,16864.0
2807908154,23216.0
2807908155,18871.0
2807908156,20317.0
2807908157,18794.0
2807908158,29364.0
2807908159,24096.0
2807908160,19020.0
2807908161,22628.0
2807908162,21098.0
2807908163,22643.0
2807908164,19153.0
2807908165,19717.0
2807908166,13883.0
2807908167,23502.0
2807908168,16073.0
2807908169,18589.0
2807908170,17998.0
2807908171,17315.0
2807908172,16613.0
2807908173,19953.0
2807908174,18212.0
2807908175,29364.0
2807908176,21960.0
2807908177,16217.0
2807908178,20033.0
2807908179,16894.0
2807908180,16773.0
2807908181,
2807908182,
2807908183,
2807908184,
2807908185,
2807908186,
2807908187,
2807908188,
2807909001,16700.0
2807909002,17459.0
2807909004,15476.0
2807909005,14238.0
2807909006,16184.0
2807909007,16388.0
2807909008,22853.0
2807909009,16356.0
2807909010,23941.0
2807909011,19719.0
2807909012,17104.0
2807909013,15750.0
2807909014,24129.0
2807909015,21003.0
2807909016,16920.0
2807909017,20694.0
2807909018,29364.0
2807909019,25764.0
2807909020,27476.0
2807909021,24590.0
2807909022,23088.0
2807909023,17623.0
2807909024,27955.0
2807909025,29364.0
2807909026,15618.0
2807909028,20453.0
2807909029,20712.0
2807909030,29364.0
2807909031,18721.0
2807909033,23714.0
2807909034,28242.0
2807909035,23211.0
2807909036,17464.0
2807909037,23392.0
2807909038,21790.0
2807909039,18134.0
2807909040,17567.0
2807909041,29364.0
2807909043,29364.0
2807909044,23886.0
2807909045,21024.0
2807909046,22439.0
2807909047,16979.0
2807909049,15287.0
2807909050,14148.0
2807909051,16290.0
2807909052,14974.0
2807909053,20141.0
2807909054,11125.0
2807909055,16833.0
2807909056,18352.0
2807909057,11888.0
2807909058,11137.0
2807909060,11563.0
2807909061,10718.0
2807909063,14089.0
2807909064,10365.0
2807909065,9569.0
2807909066,11387.0
2807909067,9811.0
2807909068,12584.0
2807909069,12332.0
2807909070,14705.0
2807909071,29364.0
2807909072,29364.0
2807909073,29364.0
2807909074,14359.0
2807909075,25487.0
2807909076,9891.0
2807909077,16680.0
2807909078,29364.0
2807909079,22773.0
2807909080,22030.0
2807909081,23110.0
2807909082,14683.0
2807909083,23955.0
2807909084,18552.0
2807909085,23258.0
2807909086,29364.0
2807909087,29364.0
2807909088,21667.0
2807909089,28996.0
2807909090,16114.0
2807909091,29364.0
2807909092,
2807910001,10236.0
2807910002,6319.0
2807910003,5744.0
2807910004,8859.0
2807910005,9462.0
2807910006,13292.0
2807910007,9588.0
2807910008,8830.0
2807910009,9895.0
2807910010,11024.0
2807910011,14890.0
2807910012,13620.0
2807910013,15908.0
2807910014,19610.0
2807910015,10460.0
2807910016,14611.0
2807910017,23517.0
2807910018,11510.0
2807910020,9397.0
2807910021,11959.0
2807910022,10896.0
2807910023,11741.0
2807910024,10347.0
2807910025,11121.0
2807910026,13436.0
2807910027,12334.0
2807910028,10562.0
2807910029,10831.0
2807910030,10303.0
2807910031,10204.0
2807910032,10446.0
2807910033,10698.0
2807910034,9166.0
2807910035,10446.0
2807910036,13867.0
2807910037,10229.0
2807910038,11538.0
2807910039,9884.0
2807910040,8845.0
2807910041,9579.0
2807910042,11507.0
2807910043,11805.0
2807910044,14346.0
2807910046,10749.0
2807910047,8343.0
2807910048,8557.0
2807910049,8739.0
2807910050,9309.0
2807910051,10026.0
2807910052,10225.0
2807910053,10144.0
2807910054,15698.0
2807910055,14091.0
2807910056,9330.0
2807910057,9646.0
2807910058,9075.0
2807910059,8933.0
2807910060,13552.0
2807910061,8575.0
2807910062,7768.0
2807910063,8606.0
2807910065,9383.0
2807910067,13316.0
2807910068,12794.0
2807910069,10934.0
2807910070,11382.0
2807910072,15110.0
2807910073,9796.0
2807910074,15006.0
2807910075,11850.0
2807910076,13703.0
2807910077,10964.0
2807910078,13030.0
2807910081,14403.0
2807910082,10801.0
2807910083,8861.0
2807910084,8616.0
2807910086,9133.0
2807910087,18883.0
2807910088,12062.0
2807910089,11913.0
2807910090,15303.0
2807910091,17186.0
2807910092,11747.0
2807910093,11938.0
2807910094,9218.0
2807910095,10165.0
2807910096,9343.0
