ID,Value,C,D,E,F,G,H,I
11133,11133,PSOE,31,25.9,18.53,9.26,7.94,5.29
10181,10181,PSOE,33.94,23.29,14,12.63,7.46,6.24
10192,10192,PSOE,30.36,25.09,14.76,14.76,6.95,6.39
11162,11162,PSOE,31.56,24.38,13.44,16.25,3.75,8.75
10193,10193,PSOE,47.1,18.06,10.75,12.26,4.95,4.73
11128,11128,PSOE,38.1,17.86,14.29,15.95,7.38,4.76
18003,18003,PSOE,38.59,16.71,9.41,18.35,8.24,7.29
18015,18015,PSOE,39.15,17.23,11.28,20.21,5.11,4.26
11136,11136,PSOE,33.05,25.65,15.15,12.56,6.2,4.82
10180,10180,PSOE,33.61,23.73,18.38,10.01,6.58,5.62
13019,13019,PSOE,40.39,6.96,13.09,25.91,5.01,6.41
11099,11099,PSOE,29.24,28.43,16.32,13.73,7.27,3.72
10182,10182,PSOE,32.16,21,16.36,16.17,7.81,4.46
18024,18024,PSOE,37.72,16.55,13.17,19.4,7.12,5.16
18002,18002,PSOE,37.14,13.47,14.56,21.63,6.12,5.17
10185,10185,PSOE,38.42,15.02,14.53,16.26,6.4,6.4
11147,11147,PSOE,38.22,17.16,13.14,17.28,4.5,8.17
18004,18004,PSOE,29.44,18.95,14.04,24.37,2.71,7.61
13010,13010,PSOE,45.39,10.31,8.32,19.71,5.97,7.96
18012,18012,PSOE,37.89,15.72,13.66,19.2,6.06,5.03
10171,10171,PSOE,30.66,25.08,13.29,14.8,8.76,5.14
10179,10179,PSOE,33.18,24.1,16.43,12.36,6.57,4.38
18013,18013,PSOE,40.48,15.93,12.27,19.05,4.58,5.13
18048,18048,PSOE,29.19,19.87,15.09,14.54,11.99,6.55
11161,11161,PSOE,42.44,16.45,9.81,16.98,6.1,7.16
18014,18014,PSOE,36.99,12.57,15.94,15.06,4.53,3.36
13208,13208,PSOE,35.57,9.48,9.81,25.1,6.46,10.55
13017,13017,PSOE,38.14,9.3,12.56,24.88,6.05,6.98
13203,13203,PODEMOS-IU,29.81,9.67,8.19,31.98,5.13,12.44
10172,10172,PSOE,31.31,24.55,17.79,11.04,8.33,5.41
13026,13026,PSOE,41.61,11.26,10.8,22.53,5.98,3.91
13021,13021,PSOE,36.14,10.44,12.85,27.51,6.02,6.02
10159,10159,VOX,7.66,34.68,38.29,4.17,10.7,3.04
11126,11126,PSOE,29,18.59,16.42,17.61,8.94,7.34
12084,12084,PSOE,38.05,22.12,11.5,15.93,4.87,4.87
12083,12083,PSOE,38.18,19.31,15.4,13.88,3.25,6.51
10178,10178,PSOE,32.92,25,11.96,14.75,7.76,5.75
10191,10191,PSOE,34.39,21.2,15.78,14.84,7.18,5.18
11185,11185,PSOE,27.49,24.71,16.24,13.11,8,7.89
11163,11163,PSOE,33.51,27.13,14.63,12.1,5.19,5.05
13103,13103,PSOE,40.43,12.68,17.7,19.62,5.02,3.11
18035,18035,PSOE,30.71,27.64,14.4,11.32,8.06,3.45
13027,13027,PSOE,43.59,9.16,10.26,26.37,4.76,4.03
12087,12087,PSOE,47.41,11.46,13.34,14.91,5.34,5.49
18011,18011,PSOE,35.05,18.15,11.74,20.28,5.87,5.52
18005,18005,PSOE,39.79,14.79,10,18.33,6.88,7.5
18006,18006,PSOE,36.84,17.35,14.23,14.81,7.02,6.82
11179,11179,PSOE,28.84,22.61,16.18,18.67,6.22,4.98
13018,13018,PSOE,40.54,14.59,13.51,18.11,6.22,4.86
11097,11097,PP,27.79,30.44,17.21,13.53,4.26,5.44
18036,18036,PSOE,30.08,22.95,16.53,14.03,7.85,6.66
12098,12098,PSOE,34.55,12.2,10.98,21.06,9.02,9.59
